Match Number,Date & Time,Venue,Team 1,Team 1 Score,Team 2,Team 2 Score,winner,winning_margin,Winning Margin Value,Winning Margin Type
11,2024-03-30 19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,199,Punjab Kings,178,LUCKNOW SUPER GIANTS,21 RUNS,21,RUNS
10,2024-03-29 19:30:00,"M Chinnaswamy Stadium,",Royal Challengers Bengaluru,182,Kolkata Knight Riders,186,KOLKATA KNIGHT RIDERS,7 WICKETS,7,WICKETS
9,2024-03-28 19:30:00,"Sawai Mansingh Stadium,",Rajasthan Royals,185,Delhi Capitals,173,RAJASTHAN ROYALS,12 RUNS,12,RUNS
8,2024-03-27 19:30:00,"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,277,Mumbai Indians,246,SUNRISERS HYDERABAD,31 RUNS,31,RUNS
7,2024-03-26 19:30:00,"MA Chidambaram Stadium,",Chennai Super Kings,206,Gujarat Titans,143,CHENNAI SUPER KINGS,63 RUNS,63,RUNS
6,2024-03-25 19:30:00,"M Chinnaswamy Stadium,",Royal Challengers Bengaluru,178,Punjab Kings,176,ROYAL CHALLENGERS BENGALURU,4 WICKETS,4,WICKETS
5,2024-03-24 19:30:00,"Narendra Modi Stadium,",Gujarat Titans,168,Mumbai Indians,162,GUJARAT TITANS,6 RUNS,6,RUNS
4,2024-03-24 15:30:00,"Sawai Mansingh Stadium,",Rajasthan Royals,193,Lucknow Super Giants,173,RAJASTHAN ROYALS,20 RUNS,20,RUNS
3,2024-03-23 19:30:00,"Eden Gardens,",Kolkata Knight Riders,208,Sunrisers Hyderabad,204,KOLKATA KNIGHT RIDERS,4 RUNS,4,RUNS
2,2024-03-23 15:30:00,"PCA New Stadium,",Punjab Kings,177,Delhi Capitals,174,PUNJAB KINGS,4 WICKETS,4,WICKETS
1,2024-03-22 20:00:00,"MA Chidambaram Stadium,",Chennai Super Kings,176,Royal Challengers Bengaluru,173,CHENNAI SUPER KINGS,6 WICKETS,6,WICKETS
